QNO,Q1,Q2,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q5g,Q5h,Q5i,Q6,Q7a,Q7b,Q7c,Q7d,Q7e,Q7f,Q8a,Q8b,Q8c,Q8d,Q9,Q10,Q11,Q12,Q13,Q14
117,1,1,.2,2,1,1,1,3,3,3,3,3,2,3,3,4,2,2,2,2,0,100,0,0,3,4,2,1,5,3
118,0, , , , , , , , , , , , , , , , , , , , , , , ,3,4,2,1,5,5
119,0, , , , , , , , , , , , , , , , , , , , , , , ,3,3,2,0,5,5
120,1,3,2,1,1,3,4,4,4,3,3,3,4,2,3,3,4,3,3,3,0,99,1,0,3,2,2,1,5,3
121,0, , , , , , , , , , , , , , , , , , , , , , , ,2,3,4,1,5,3
122,1,2,1,1,1,1,1,3,3,3,3,1,3,2,2,1,4,1,3,1,0,100,0,0,3,4,2,1,3,3
123,1,2,2,2,1,4,4,4,4,4,4,3,4,2,4,3,2,2,2,2,0,90,10,0,3,3,2,0,2,3
124,1,2,.5,0,1,1,3,4,4,4,4,4,4,2,4,4,4,1,1,1,0,100,0,0,4,4,2,0,4,3
125,1,1,.5,0,1,2,3,3,3,3,4,3,3,3,3,3,2,1,4,2,0,90,10,0,3,4,2,0,4,3
126,1,3,1.5,1,1,4,4,4,4,4,4,2,3,3,3,4,2,4,3,1,50,40,10,0,3,4,2,0,4,3
127,1,3,2,2,2,3,4,4,3,3,4,3,4,3,4,4,4,3,3,2,0,98,2,0,3,3,4,1,4,3
128,1,3,.5,1,1,1,2,3,3,3,3,3,2,2,3,3,1,3,3,2,50,45,5,0,2,2,2,0,3,3
129,1,2,1,1,3,1,2,4,4,4,4,3,4,2,4,4,4,3,4,2,20,70,10,0,4,4,4,1,3,4
130,1,2,1,0,1,2,4,4,4,3,4,4,4,2,4,1,3,4,4,4,0,95,5,0,4,3,1,0,3,3
131,1,1,1,1,1,3,3,4,3,4,4,3,3,1,2,2,3,2,2,2,0,99,1,0,3,3,2,0,4,3
132,1,2,.5,1,1,3,3,4,3,3,4,3,4,3,2,4,4,4,4,3,0,99,1,0,3,4,1,1,4,3
133,1,2,1,0,1,1,2,2,3,3,3,3,3,2,1,3,1,3,2,1,0,100,0,0,3,3,2,0,4,3
134,1,2,2,1,1,3,3,3,3,3,3,3,3,3,3,2,2,4,3,1,0,55,45,0,3,4,2,1,4,3
135,1,2,1,0,1,1,2,4,3,4,3,3,2,1,2,4,2,3,3,1,0,75,25,0,3,3,2,0,4,3
136,1,2,1,0,1,2,4,4,4,4,4,3,4,3,2,2,1,4,4,2,50,0,50,0,4,4,2,0,4,3
137,1,3,1,2,1,3,4,4,4,4,4,4,4,2,4,3,4,4,3,3,0,0,100,0,4,3,2,0,4,5
138,0, , , , , , , , , , , , , , , , , , , , , , , ,3,4,2,1,4,3
139,1,3,1,0,1,2,3,4,4,3,4,2,1,3,1,4,4,4,2,2,0,100,0,0,3,4,2,1,3,3
140,1,3,1,0,1,1, ,4,3,4,4,2,3,3,3,3,4,4,2,2,0,40,60,0,4,3,2,1,3,2
141,1,2,.25,1,1,2,1,3,1,1,3,2,4,3,2,3,3,4,3,2,0,100,0,0,4,4,2,1,2,2
142,1,3,2,0,1,1,3,4,4,4,4,3,4,2,1,4,2,3,3,3,0,100,0,0,4,4,2,0,3,2
143,1,2,1,0,1,1,3,4,3,3,4,3,4,3,3,3,2,1,3,1,0,100,0,0,2,4,1,1,3,3
144,1,3,6,1,1,2,4,4,2,4,3,1,4,3,1,3,1,1,3,1,20,75,5,0,3,3,2,0,2,2
145,1,3,1,0,1,1,1,3,4,3,4,2,3,2,2,4,3,2,3,2,0,95,5,0,3,3,2,0,4,3
146,1,2,1,2,1,2,2,3,3,3,4,3,4,2,4,4,2,4,4,3,10,90,0,0,3,3,1,0,3,2
147,1,3,2,1,1,3,4,4,4,4,4,3,4,1,4,4,3,2,3,2,40,40,10,10,3,3,2,0,2,2
148,1,1,.5,0,1,2,2,3,3,4,4,1,3,2,1,3,3,4,3,1,0,100,0,0,4,4,4,0,3,2
149,1,3,2,0,1,1,2,3,3,3,3,3,4,3,4,4,3,2,3,2,30,60,10,0,3,4,2,1,1,1
150,1,2,1,2,1,3,3,4,4,4,4,4,4,3,2,2,3,3,3,3,0,100,0,0,4,4,2,0,3,3
151,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,20,20,30,1,1,1,1,3,3
152,1,2,3,0,3,4,3,4,4,4,4,4,4,2,3,3,4,3,3,4,0,100,0,0,4,3,2,0,3,3
153,1,3,3,0,2,3,4,4,4,4,4,4,3,3,2,4,2,4,4,3,30,60,10,0,4,4,2,0,2,3
154,1,2,.5,1,1,2,3,3,4,4,4,2,3,2,2,4,3,1,3,2,10,80,10,0,3,3,2,0,5,5
155,1,2,.25,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,0,100,0,0,3,3,2,0,3,3
156,0, , , , , , , , , , , , , , , , , , , , , , , ,4,2,2,1,2,5
157,1,3,1,0,1,1,1,3,3,3,3,3,3,2,4,4,4,1,4,1,0,100,0,0,4,4,2,0,3,3
158,1,2,1,0,1,1,3,3,3,3,3,3,3,2,3,3,3,2,3,2,0,98,2,0,4,4,2,0,2,2
159,1,2,1,1,1,3,2,3,4,4,4,3,3,3,3,4,2,3,3,1,0,100,0,0,2,3,2,0,4,3
160,0, , , , , , , , , , , , , , , , , , , , , , , ,4,3,2,1,3,3
161,1,1,1,2,1,2,3,3,1,2,2,2,3,1,3,2,1,2,3,3,0,75,25,0,4,4,2,0,4,3
162,1,2,3,1,1,3,4,4,4,3, ,3,4,3,3,4,4,3,3,3,0,100,0,0,3,3,2,1,2,2
163,1,3,2,1,1,3,3,4,4,4,4,3,4,3,3,3,3,1,3,1,0,75,25,0,3,3,2,1,2,2
164,1,2,4,2,1,3,4,4,3,3,3,3,4,3,3,3,3,4,4,4,0,95,5,0,3,4,2,1,2,3
165,1,3,1,0,1,2,4,3,4,2,2,2,2,3,1,1,4,3,3,1,0,100,0,0,4,4,2,0,2,2
166,0, , , , , , , , , , , , , , , , , , , , , , , ,2,3,2,1,5,5
167,1,2,.5,1,3,4,2,4,4,4,4,3,4,3,4,3,4,4,3,2,0,80,20,0,4,4,1,0,4,3
168,0, , , , , , , , , , , , , , , , , , , , , , , ,3,3,2,1,3,4
169,1,3,.5,2,1,2,2,3,3,3,3,3,2,2,2,3,1,2,2,1,50,30,20,0,2,2,2,0,3,3
170,1,2,1,0,3,3,4,4,3,4,4,3,4,4,4,4,3,3,4,3,0,50,50,0,4,4,2,0,3,2
171,1,2,1,1,1,1,3,3,3,3,3,1,3,3,3,3,1,3,3,1,0,20,80,0,4,3,2,0,4,3
172,1,2,1,1,1,3,3,3,3,3,3,2,3,2,3,3,3,2,3,2,0,100,0,0,3,3,2,1,4,5
173,1,3,1,0,1,2,2,3,3,3,3,3,3,2,4,4,2,2,3,2,0,100,0,0,4,4,2,0,4,3
174,1,2,.5,1,1,1,1,3,3,3,3,3,2,2,3,3,2,2,2,2,0,80,0,20,3,3,2,0,3,4
175,1,3,1,1,1,2,4,3,2,3,3,3,4,0,3,3,3,3,4,3,50,40,5,5,3,3,1,1,4,5
176,1,1,1,0,1,1,3,4,4,4,4,3,4,3,3,3,3,3,3,3,0,100,0,0,3,3,4,1,3,4
177,1,3,2,0,1,3,4,4,4,4,4,4,4,1,3,3,3,3,3,3,0,100,0,0,3,3,4,1,3,4
178,1,2,6,1,1,2,3,4,4,4,4,2,4,3,2,3,2,3,2,3,0,100,0,0,4,4,2,0,3,3
179,1,1,.25,0,1,1,1,4,4,4,4,1,4,3,3,2,1,1,1,1,50,50,0,0,3,3,2,0,4,3
180,1,2,1,0,1,2,3,3,2,3,3,2,3,3,1,4,3,3,3,2,20,80,0,0,3,3,2,0,2,2
181,1,2,.25,0,1,3,3,4,4,4,4,4,4,2,2,4,2,2,3,1,0,50,50,0,3,3,2,0,3,3
182,1,1,1,0,1,1,1,4,4,4,4,4,4,2,4,2,2,3,3,1,0,100,0,0,4,4,2,0,3,2
183,1,2,1,1,1,3,4,4,3,3,3,2,4,2,4,2,3,2,3,3,0,100,0,0,3,3,1,1,2,2
184,1,1,1,0,2,1,4,4,1,4,4,4,4,1,4,4,1,4,4,3,0,100,0,0,4,3,1,0,2,5
185,1,1,1,1,1,2,2,4,4,4,4,3,3,3,3,4,3,2,2,2,0,100,0,0,4,4,2,0,3,2
186,1,1,1,0,1,1,4,3,3,3,3,2,4,0,3,1,3,1,1,3,0,100,0,0,3,3,2,0,2,5
187,1,1,1,1,1,3,3,3,3,3,3,2,3,2,3,2,3,2,2,3,0,100,0,0,4,3,2,1,3,5
188,1,3,3,2,1,3,3,3,2,3,4,4,4,1,1,4,4,4,4,3,30,20,30,20,3,3,1,1,3,3
189,0, , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,1,3,2
190,1,1,1,2,2,4,4,4,4,4,4,4,4,2,3,4,4,4,2,1,0,100,0,0,3,4,2,1,3,5
191,1,3,3,1,1,1,1,2,4,4,4,4,4,3,3,3,2,1,4,1,0,100,0,0,4,4,2,1,3,2
