QNO,Q1,Q2,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q5g,Q5h,Q5i,Q6,Q7a,Q7b,Q7c,Q7d,Q7e,Q7f,Q8a,Q8b,Q8c,Q8d,Q9,Q10,Q11,Q12,Q13,Q14
456,1,1,1,2,1,3,3,4,4,4,4,2,2,3,3,4,1,1,1,1,5,90,5,0,3,4,2,1,1,1
457,1,3,2,1,1,3,3,4,3,3,3,3,4,3,3,3,2,2,2,2,25,75,0,0,2,3,2,0,1,1
458,1,4,2,0,1,1,3,4,4,4,4,4,4,3,1,3,3,3,4,4,0,75,25,0,3,4,2,0,1,2
459,1,2,2,1,2,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,1,98,1,0,4,4,1,1,1,1
460,1,2,1,2,1,3,3,4,4,4,4,3,3,2,4,4,4,3,3,3,50,50,0,0,4,4,2,0,1,1
461,1,3,2,0,1,2,4,4,4,3,3,4,4,4,4,4,4,3,3,2,10,80,10,0,4,4,2,1,1,2
462,1,3,2,1,1,3,4,4,4,3,3,3,4,3,4,4,4,3,3,2,0,75,25,0,3,4,2,1,1,1
463,1,2,1,1,1,3,3,4,4,4,4,3,3,3,3,4,3,4,4,2,0,80,20,0,4,3,2,1,1,1
464,1,3,4,1,1,3,3,4,4,4,4,3,3,3,2,4,4,2,3,3,10,75,15,0,3,4,2,1,1,1
465,1,3,2,2,1,3,3,4,3,2,3,2,4,1,4,4,4,2,2,2,0,100,0,0,3,4,2,1,1,1
466,1,2,1,2,1,2,3,4,4,4,4,3,4,2,3,4,3,3,3,1,0,100,0,0,4,4,2,1,1,1
467,1,3,2,2,1,2,2,4,4,4,4,2,3,3,2,4,3,2,3,2,50,40,10,0,2,2,2,1,1,1
468,1,3,2,0,1,1,3,4,4,4,4,3,4,3,3,4,2,2,3,1,5,90,5,0,3,3,2,1,1,1
469,1,3,2,0,1,1,3,4,4,4,4,3,4,2,1,4,2,3,3,3,0,100,0,0,4,4,2,0,1,1
470,1,2,1,0,1,1,3,4,3,3,4,3,4,3,3,3,2,1,3,1,0,100,0,0,2,4,1,1,1,2
471,1,3,6,1,1,2,4,4,2,4,3,1,4,3,1,3,1,1,3,1,20,75,5,0,3,3,2,0,1,1
472,1,3,1,0,1,1,1,3,4,3,4,2,3,2,2,4,3,2,3,2,0,95,5,0,3,3,2,0,1,1
473,1,2,1,2,1,2,2,3,3,3,4,3,4,2,4,4,2,4,4,3,10,90,0,0,3,3,1,0,1,1
474,1,3,2,1,1,3,4,4,4,4,4,3,4,1,4,4,3,2,3,2,40,40,10,10,3,3,2,0,1,1
475,1,1,.5,0,1,2,2,3,3,4,4,1,3,2,1,3,3,4,3,1,0,100,0,0,4,4,4,0,1,2
476,1,3,2,0,1,1,2,3,3,3,3,3,4,3,4,4,3,2,3,2,30,60,10,0,3,4,2,1,1,1
477,1,2,1,2,1,3,3,4,4,4,4,4,4,3,2,2,3,3,3,3,0,100,0,0,4,4,2,0,1,1
478,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,20,20,30,1,1,1,1,1,1
479,1,2,3,0,3,4,3,4,4,4,4,4,4,2,3,3,4,3,3,4,0,100,0,0,4,3,2,0,1,1
480,1,3,3,0,2,3,4,4,4,4,4,4,3,3,2,4,2,4,4,3,30,60,10,0,4,4,2,0,1,2
481,1,2,2,0,1,3,2,3,3,1,1,3,3,4,4,2,3,1,1,1,80,20,0,0,2,3,1,1,1,1
482,1,3,2,1,3,4,3,4,4,3,3,3,3,3,4,4,3,4,4,2,0,95,5,0,4,4,1,0,1,2
483,1,1,1,0,1,1,3,4,4,4,4,3,4,2,1,3,3,3,3,3, , , , ,1,1,4,1,1,2
484,1,2,1,1,1,2,1,3,1,1,3,1,1,2,4,4,1,4,2,1,0,100,0,0,2,4,2,0,1,2
485,1,2,1,0,1,3,3,3,3,4,4,2,4,3,3,3,3,4,3,1,0,80,20,0,3,4,1,1,1,1
486,1,3,1,0,1,1,3,3,3,3,3,3,3,2,3,3,3,1,3,3,0,95,5,0,4,3,2,1,1,2
487,1,4,3,1,1,3,4,4,4,4,4,3,4,3,3,4,4,3,3,3,0,75,25,0,3,4,2,1,1,1
488,1,3,2,0,1,1,3,3,3,3,4,2,4,2,3,3,3,2,1,1,25,55,19,1,4,4,2,1,1,1
489,1,3,2,0,1,1,1,2,1,1,2,1,1,0,1,3,2,3,3,2,0,40,60,0,4,2,2,0,1,2
490,1,2,2,0,1,2,4,4,3,3,4,3,4,2,2,3,3,3,2,2,0,100,0,0,3,3,1,1,1,1
491,1,2,2,1,1,3,1,4,4,4,4,4,3,3,2,4,3,1,1,1,0,90,10,0,4,2,2,1,1,2
492,1,1,3,0,2,3,4,4,4,4,4,4,4,3,3,4,4,2,3,3,15,85,0,0,2,2,4,1,1,1
493,1,2,2,1,1,1,1,3,3,3,3,2,2,2,2,2,2,3,4,2,0,100,0,0,4,4,2,0,1,1
494,1,2,2,1,1,3,4,4,4,4,4,2,4,3,4,4,3,3,4,3,0,100,0,0,3,3,2,1,1,1
495,1,1,4,2,1,3,3,4,2,4,4,2,4,3,4,2,4,3,3,2,0,95,5,0,2,4,2,1,1,1
496,1,2,2,1,1,3,4,4,4,4,4,4,3,1,4,4,3,2,4,2,0,90,10,0,4,4,4,0,1,1
497,1,3,1,1,2,2,2,3,4,4, ,3,4,3,4,4,1,3,3,2,0,100,0,0,3,3,2,1,1,1
498,1,1,1,1,1,2,2,3,2,3,3,1,4,3,1,1,4,4,4,1,0,100,0,0,3,3,1,1,1,1
499,1,2,2,1,1,3,3,4,3,3,4,3,4,3,2,2,3,3,4,3,0,70,25,5,3,3,2,1,1,1
500,1,3,3,1,1,4,2,3,3,3,3,3,4,3,3,4,2,2,3,1,0,80,20,0,3,4,2,1,1,2
